model,history_weight,word_weight,val_accuracy_at_1,val_recall_at_5,val_recall_at_20
v0.1.1_single_term,1.0,,0.655,0.77,0.78
v0.1.1_single_term,0.5,,0.635,0.81,0.885
v0.1.1_single_term,0.0,,0.42,0.57,0.65
v0.2_alias_aware_hybrid,0.25,0.15,0.77,0.89,0.925
v0.2_alias_aware_hybrid,0.25,0.35,0.77,0.89,0.925
v0.2_alias_aware_hybrid,0.5,0.35,0.725,0.885,0.92
v0.2_alias_aware_hybrid,0.5,0.15,0.73,0.88,0.92
v0.2_alias_aware_hybrid,0.75,0.35,0.695,0.83,0.9
v0.2_alias_aware_hybrid,0.75,0.15,0.685,0.83,0.9
